"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-01",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-02",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-03",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-04",,,,,"0.56",",,N",,
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-05",,,,,"0.01",",,N",,
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-06",,,,,"0.00","T,,N",,
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-07",,,,,"0.02",",,N",,
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-08",,,,,"0.07",",,N",,
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-09",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-10",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-11",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-12",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-13",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-14",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-15",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-16",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-17",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-18",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-19",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-20",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-21",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-22",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-23",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-24",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-25",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-26",,,,,"0.00",",,N","0.0",",,N"
"US1CASF0017","SAN FRANCISCO 1.6 SE, CA US","37.75901","-122.3975","65.5","2022-01-27",,,,,"0.00",",,N","0.0",",,N"
